	STUDY ACCESSION	DISEASE/TRAIT	Disease trait	Parent term
8445	GCST005142	Cognitive ability	Cognitive ability	Biological process
8446	GCST005141	Cognitive ability (MTAG)	Cognitive ability (MTAG)	Other measurement
8447	GCST005141	Cognitive ability (MTAG)	Cognitive ability (MTAG)	Biological process
8448	GCST008165	Thyroid stimulating hormone levels	Thyroid stimulating hormone levels	Other measurement
8449	GCST008165	Thyroid stimulating hormone levels	Thyroid stimulating hormone levels	Other trait
8450	GCST008164	Free thyroxine concentration	Free thyroxine concentration	Other measurement
8451	GCST005342	Plasma kynurenine levels in major depressive disorder	Plasma kynurenine levels in major depressive disorder	Neurological disorder
8452	GCST005342	Plasma kynurenine levels in major depressive disorder	Plasma kynurenine levels in major depressive disorder	Other measurement
8453	GCST005343	Plasma kynurenine to tryptophan ratio in major depressive disorder	Plasma kynurenine to tryptophan ratio in major depressive disorder	Neurological disorder
8454	GCST005343	Plasma kynurenine to tryptophan ratio in major depressive disorder	Plasma kynurenine to tryptophan ratio in major depressive disorder	Other measurement
8455	GCST005782	Serum 25-Hydroxyvitamin D levels	Serum 25-Hydroxyvitamin D levels	Other measurement
8456	GCST005355	Helping behaviour (self reported)	Helping behaviour (self reported)	Other measurement
8457	GCST006203	Atazanavir levels	Atazanavir levels	Other measurement
8458	GCST005317	Femoral neck bone mineral density or plasma lipids (pleiotropy)	Femoral neck bone mineral density or plasma lipids (pleiotropy)	Other measurement
8459	GCST005317	Femoral neck bone mineral density or plasma lipids (pleiotropy)	Femoral neck bone mineral density or plasma lipids (pleiotropy)	Other measurement
8460	GCST004904	Body mass index	Body mass index	Body measurement
8461	GCST004904	Body mass index	Body mass index	Body measurement
8462	GCST004904	Body mass index	Body mass index	Other measurement
8463	GCST005231	Major depressive disorder	Major depressive disorder	Neurological disorder
8464	GCST005230	Recurrent major depressive disorder	Recurrent major depressive disorder	Neurological disorder
8465	GCST005412	Thrombin-activatable fibrinolysis inhibitor levels	Thrombin-activatable fibrinolysis inhibitor levels	Other measurement
8466	GCST005411	Thrombin-activatable fibrinolysis inhibitor activation peptide	Thrombin-activatable fibrinolysis inhibitor activation peptide	Hematological measurement
8467	GCST005804	Taxane-induced peripheral neuropathy in breast cancer	Taxane-induced peripheral neuropathy in breast cancer	Cancer
8468	GCST005804	Taxane-induced peripheral neuropathy in breast cancer	Taxane-induced peripheral neuropathy in breast cancer	Response to drug
8469	GCST005804	Taxane-induced peripheral neuropathy in breast cancer	Taxane-induced peripheral neuropathy in breast cancer	Neurological disorder
8470	GCST005267	Schizophrenia or lung cancer (pleiotropy)	Schizophrenia or lung cancer (pleiotropy)	Neurological disorder
8471	GCST005267	Schizophrenia or lung cancer (pleiotropy)	Schizophrenia or lung cancer (pleiotropy)	Cancer
8472	GCST005266	Schizophrenia or cigarettes per day (pleiotropy)	Schizophrenia or cigarettes per day (pleiotropy)	Other measurement
8473	GCST005266	Schizophrenia or cigarettes per day (pleiotropy)	Schizophrenia or cigarettes per day (pleiotropy)	Neurological disorder
8474	GCST005366	Vitamin D levels (dietary vitamin D intake interaction)	Vitamin D levels (dietary vitamin D intake interaction)	Other measurement
8475	GCST005366	Vitamin D levels (dietary vitamin D intake interaction)	Vitamin D levels (dietary vitamin D intake interaction)	Other measurement
8476	GCST005367	Vitamin D levels	Vitamin D levels	Other measurement
8477	GCST005786	Prostate cancer	Prostate cancer	Cancer
8478	GCST005279	Lumbar spondylosis (disc space narrowing)	Lumbar spondylosis (disc space narrowing)	Other disease
8479	GCST005278	Lumbar spondylosis (presence and severity of osteophytes)	Lumbar spondylosis (presence and severity of osteophytes)	Other disease
8480	GCST005277	Lumbar spondylosis (Kellgren-Lawrence grade)	Lumbar spondylosis (Kellgren-Lawrence grade)	Other disease
8481	GCST005329	Coffee consumption	Coffee consumption	Biological process
8482	GCST005329	Coffee consumption	Coffee consumption	Other measurement
8483	GCST005329	Coffee consumption	Coffee consumption	Other measurement
8484	GCST005330	Coffee consumption	Coffee consumption	Biological process
8485	GCST005330	Coffee consumption	Coffee consumption	Other measurement
8486	GCST005330	Coffee consumption	Coffee consumption	Other measurement
8487	GCST006228	Systolic blood pressure	Systolic blood pressure	Other measurement
8488	GCST006228	Systolic blood pressure	Systolic blood pressure	Other measurement
8489	GCST006231	Mean arterial pressure	Mean arterial pressure	Other measurement
8490	GCST006227	Diastolic blood pressure	Diastolic blood pressure	Other measurement
8491	GCST006227	Diastolic blood pressure	Diastolic blood pressure	Other measurement
8492	GCST006230	Pulse pressure	Pulse pressure	Cardiovascular measurement
8493	GCST006229	Hypertension	Hypertension	Cardiovascular disease
8494	GCST005965	B cell acute lymphoblastic leukaemia (normal cytogenetics)	B cell acute lymphoblastic leukaemia (normal cytogenetics)	Cancer
8495	GCST005966	B cell acute lymphoblastic leukaemia (hyperdiploid negative)	B cell acute lymphoblastic leukaemia (hyperdiploid negative)	Cancer
8496	GCST005967	B cell acute lymphoblastic leukaemia (Philadelphia chromosome negative)	B cell acute lymphoblastic leukaemia (Philadelphia chromosome negative)	Cancer
8497	GCST005968	B cell acute lymphoblastic leukaemia (abnormal cytogenetics)	B cell acute lymphoblastic leukaemia (abnormal cytogenetics)	Cancer
8498	GCST005969	Acute lymphoblastic leukemia in childhood (B cell precursor)	Acute lymphoblastic leukemia in childhood (B cell precursor)	Cancer
8499	GCST005970	B cell acute lymphoblastic leukaemia in young adulthood	B cell acute lymphoblastic leukaemia in young adulthood	Cancer
8500	GCST005971	B cell acute lymphoblastic leukaemia in adulthood	B cell acute lymphoblastic leukaemia in adulthood	Cancer
8501	GCST005972	Acute lymphoblastic leukemia (B-cell precursor)	Acute lymphoblastic leukemia (B-cell precursor)	Cancer
8502	GCST005972	Acute lymphoblastic leukemia (B-cell precursor)	Acute lymphoblastic leukemia (B-cell precursor)	Cancer
8503	GCST005359	Disease progression in age-related macular degeneration	Disease progression in age-related macular degeneration	Neurological disorder
8504	GCST005359	Disease progression in age-related macular degeneration	Disease progression in age-related macular degeneration	Other measurement
8505	GCST005360	Disease progression to geographic atrophy form in age-related macular degeneration	Disease progression to geographic atrophy form in age-related macular degeneration	Neurological disorder
8506	GCST005360	Disease progression to geographic atrophy form in age-related macular degeneration	Disease progression to geographic atrophy form in age-related macular degeneration	Other measurement
8507	GCST005358	Disease progression to choroidal neovascularization form in age-related macular degeneration	Disease progression to choroidal neovascularization form in age-related macular degeneration	Neurological disorder
8508	GCST005358	Disease progression to choroidal neovascularization form in age-related macular degeneration	Disease progression to choroidal neovascularization form in age-related macular degeneration	Other measurement
8509	GCST009144	Disease progression in age-related macular degeneration (adjusted for baseline)	Disease progression in age-related macular degeneration (adjusted for baseline)	Neurological disorder
8510	GCST009144	Disease progression in age-related macular degeneration (adjusted for baseline)	Disease progression in age-related macular degeneration (adjusted for baseline)	Other measurement
8511	GCST005315	Acute lymphoblastic leukemia (childhood)	Acute lymphoblastic leukemia (childhood)	Cancer
8512	GCST005269	Luteinizing hormone levels in polycystic ovary syndrome	Luteinizing hormone levels in polycystic ovary syndrome	Other disease
8513	GCST005269	Luteinizing hormone levels in polycystic ovary syndrome	Luteinizing hormone levels in polycystic ovary syndrome	Other measurement
8514	GCST005270	Follicule stimulating hormone levels in polycystic ovary syndrome	Follicule stimulating hormone levels in polycystic ovary syndrome	Other measurement
8515	GCST005270	Follicule stimulating hormone levels in polycystic ovary syndrome	Follicule stimulating hormone levels in polycystic ovary syndrome	Other disease
8516	GCST005271	Sex hormone-binding globulin levels in polycystic ovary syndrome	Sex hormone-binding globulin levels in polycystic ovary syndrome	Other measurement
8517	GCST005271	Sex hormone-binding globulin levels in polycystic ovary syndrome	Sex hormone-binding globulin levels in polycystic ovary syndrome	Other disease
8518	GCST005272	Testosterone levels in polycystic ovary syndrome	Testosterone levels in polycystic ovary syndrome	Other disease
8519	GCST005272	Testosterone levels in polycystic ovary syndrome	Testosterone levels in polycystic ovary syndrome	Other measurement
8520	GCST005273	Polycystic ovary syndrome	Polycystic ovary syndrome	Other disease
8521	GCST005274	DHEAS levels in polycystic ovary syndrome	DHEAS levels in polycystic ovary syndrome	Other disease
8522	GCST005274	DHEAS levels in polycystic ovary syndrome	DHEAS levels in polycystic ovary syndrome	Other measurement
8523	GCST005341	Idiopathic inflammatory myopathy	Idiopathic inflammatory myopathy	Immune system disorder
8524	GCST005340	Polymyositis	Polymyositis	Neurological disorder
8525	GCST005339	Dermatomyositis	Dermatomyositis	Neurological disorder
8526	GCST005338	Clinically amyopathic dermatomyositis	Clinically amyopathic dermatomyositis	Neurological disorder
8527	GCST005221	Insulin sensitivity index	Insulin sensitivity index	Other measurement
8528	GCST005220	Insulin levels	Insulin levels	Other measurement
8529	GCST005217	Insulin levels adjusted for BMI	Insulin levels adjusted for BMI	Other measurement
8530	GCST005222	Insulin disposition index	Insulin disposition index	Other measurement
8531	GCST005223	Ratio of the area under the curve for insulin and the area under the curve for glucose	Ratio of the area under the curve for insulin and the area under the curve for glucose	Other measurement
8532	GCST005218	Area under the curve of insulin levels	Area under the curve of insulin levels	Other measurement
8533	GCST005219	Incremental insulin	Incremental insulin	Other measurement
8534	GCST005215	Corrected insulin response	Corrected insulin response	Other measurement
8535	GCST005216	Corrected insulin response adjusted for insulin sensitivity index	Corrected insulin response adjusted for insulin sensitivity index	Other measurement
8536	GCST005216	Corrected insulin response adjusted for insulin sensitivity index	Corrected insulin response adjusted for insulin sensitivity index	Other measurement
8537	GCST004389	Circulating chemerin levels	Circulating chemerin levels	Cardiovascular measurement
8538	GCST005543	Sarcoidosis (non-Lofgren's syndrome)	Sarcoidosis (non-Lofgren's syndrome)	Other disease
8539	GCST005542	Sarcoidosis (non-Lofgren's syndrome without extrapulmonary manifestations)	Sarcoidosis (non-Lofgren's syndrome without extrapulmonary manifestations)	Other disease
8540	GCST005541	Sarcoidosis (Lofgren's syndrome vs non-Lofgren's syndrome)	Sarcoidosis (Lofgren's syndrome vs non-Lofgren's syndrome)	Other disease
8541	GCST005540	Sarcoidosis (Lofgren's syndrome)	Sarcoidosis (Lofgren's syndrome)	Other disease
8542	GCST005540	Sarcoidosis (Lofgren's syndrome)	Sarcoidosis (Lofgren's syndrome)	Other disease
8543	GCST004703	Obsessive-compulsive disorder or autism spectrum disorder	Obsessive-compulsive disorder or autism spectrum disorder	Neurological disorder
8544	GCST004703	Obsessive-compulsive disorder or autism spectrum disorder	Obsessive-compulsive disorder or autism spectrum disorder	Neurological disorder
8545	GCST004691	Huntington's disease progression	Huntington's disease progression	Neurological disorder
8546	GCST004691	Huntington's disease progression	Huntington's disease progression	Other measurement
